text,label
"Congratulations! You've won a $1000 gift card. Click here to claim now!",spam
"Hey, are we still meeting for lunch tomorrow?",ham
"URGENT: Your account has been compromised. Verify your identity immediately!",spam
"Can you send me the project files?",ham
"Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry question.",spam
"I'll be there in 10 minutes",ham
"You have been selected to receive a cash prize of $5000. Reply YES to confirm.",spam
"Thanks for your help with the presentation",ham
"WINNER!! As a valued customer, you have been selected to receive £900 prize reward!",spam
"Could you please review my code when you get a chance?",ham
"Claim your FREE iPhone now! Limited time offer. Click here.",spam
"I'm running late, sorry about that",ham
"Your credit card has unusual activity. Call us immediately at this number.",spam
"Let me know when you're available for a call",ham
"Get rich quick! Invest now and earn 500% returns guaranteed!",spam
"See you at the meeting tomorrow morning",ham
"Hot singles in your area want to meet you! Click now!",spam
"Can you pick up some groceries on your way home?",ham
"Your package is waiting. Pay shipping fee to receive it.",spam
"Happy birthday! Hope you have a great day!",ham
"Congratulations! You've been pre-approved for a loan up to $50,000.",spam
"What time does the movie start?",ham
"URGENT: You owe money to the IRS. Pay now to avoid legal action.",spam
"I sent you the document via email",ham
"Make money from home! No experience needed. Start today!",spam
"Would you like to grab coffee this weekend?",ham
"You've won a free vacation to the Bahamas! Click to claim.",spam
"Don't forget about the team meeting at 3 PM",ham
"Your prescription is ready for pickup",ham
"Act now! Limited stock available. Buy 2 get 1 free!",spam
"Can we reschedule our appointment?",ham
"Final notice: Your warranty is about to expire. Renew now!",spam
"Thanks for the recommendation, I'll check it out",ham
"Get paid to take surveys! Earn up to $100 per hour!",spam
"I'm working from home today",ham
"Your bank account needs verification. Click this link immediately.",spam
"Let's catch up sometime next week",ham
"Lose 20 pounds in 2 weeks with this miracle pill!",spam
"Could you send me the meeting notes?",ham
"You have 1 unread message from a secret admirer. Open now!",spam
"The report is due by Friday",ham
"Congratulations! You qualify for a special discount. Use code SAVE50.",spam
"I'll call you back in a few minutes",ham
"Your computer has been infected with a virus. Download antivirus now!",spam
"Great job on the presentation today!",ham
"Free trial for premium membership. No credit card required!",spam
"Do you want to join us for dinner tonight?",ham
"You've been chosen to test a new product for free!",spam
"The project deadline has been extended to next Monday",ham
"Work from home and earn $10,000 per month guaranteed!",spam
"I'll send you the files by end of day",ham
"ALERT: Suspicious activity detected on your account. Verify now!",spam
"Looking forward to seeing you at the conference",ham
"Win a brand new car! Enter your details to participate.",spam
"Can you help me with this issue?",ham
"Your loan application has been approved. Click to continue.",spam
"I received your message, thanks!",ham
"Buy cheap medications online. No prescription needed!",spam
"Let's schedule a meeting for next week",ham
"You have unclaimed money waiting for you. Claim now!",spam
"I hope you feel better soon",ham
"Exclusive offer just for you! 90% discount on all items!",spam
"Can I borrow your notes from yesterday's class?",ham
"Your phone bill is overdue. Pay now to avoid disconnection.",spam
"Thanks for inviting me to the party",ham
"Meet local singles tonight! Sign up free!",spam
"I'll be out of office next week",ham
"Urgent: Your package could not be delivered. Update your address.",spam
"Congratulations on your new job!",ham
"Earn money online without any investment. Start now!",spam
"What's the WiFi password?",ham
"You've been selected for a government grant. Apply today!",spam
"I'm stuck in traffic, will be late",ham
"Get Instagram followers fast! Buy 1000 followers for $5!",spam
"Could you proofread this for me?",ham
"Your Amazon order is delayed. Click here for refund.",spam
"I really enjoyed the book you recommended",ham
"Free ringtones! Download now and get unlimited access!",spam
"Can we postpone the meeting to tomorrow?",ham
"Your PayPal account has been limited. Verify your information.",spam
"I'll send you the invitation later today",ham
"Congratulations! You've won a lottery you never entered!",spam
"How was your weekend?",ham
"Get a free credit report now! No strings attached!",spam
"The weather is really nice today",ham
"Your subscription is about to expire. Renew now for 50% off!",spam
"I finished the task you assigned",ham
"Claim your free gift card worth $500. Limited time only!",spam
"Do you have any plans for the holidays?",ham
"Your email account will be closed. Click to prevent deletion.",spam
"Thanks for your patience",ham
"Hot stock tip! Invest now before it's too late!",spam
"I'll see you at the gym tomorrow",ham
"You've been randomly selected for a prize draw. Enter now!",spam
"Could you give me feedback on my proposal?",ham
"Free cruise for 2! Just pay a small processing fee.",spam
"I'm heading to the store, need anything?",ham
"Your computer is running slow. Download our optimizer tool!",spam
"Let me know if you need any assistance",ham
"Congratulations! You've been approved for a credit card!",spam
"I'll be working late tonight",ham
"Make $5000 a week from your smartphone! No experience needed!",spam
"Can you forward me that email?",ham
"Your Windows license has expired. Renew immediately!",spam
"I really appreciate your help",ham
